Site Name,Avg Monthly Traffic (Aug-Oct 23),Avg 1 Day Price,Avg 7 Day Price,Avg 30 Day Price,0.7% Conversion ($),4.0% Conversion ($),Estimated Yearly 0.7% ($),Estimated Yearly 4.0% ($)
Skycheats,149264,10.421875,39.68453608,81.88737864,85559.8638,488913.5074,1026718.366,5866962.089
Battle Log,174778,7.783529412,35.40848485,69.51382353,85046.40934,485979.482,1020556.912,5831753.783
AC Diamond ,159822,16.33,42.33,70.66,79051.15764,451720.9008,948613.8917,5420650.81
Lavi Cheats,162266,10.19762887,31.73390244,68.26105263,77535.13576,443057.9187,930421.6292,5316695.024
Engine Owning ,547020,5.09,,19.21,73557.7794,420330.168,882693.3528,5043962.016
Private Cheats,60907,11.01842105,43.7475,90.47088235,38572.17022,220412.4013,462866.0426,2644948.815
AimWare,238077,,,19.68,32797.48752,187414.2144,393569.8502,2248970.573
Iniuria,295541,,,15,31031.805,177324.6,372381.66,2127895.2
ring-1,69729,11,26.87,61.66,30096.43098,171979.6056,361157.1718,2063755.267
Veteran Cheats,38511,12.9,52.28,106.58,28731.51666,164180.0952,344778.1999,1970161.142
Time2Win,59672,8.62,32.5,67.5,28195.02,161114.4,338340.24,1933372.8
ducks-services,35443,6.99,27.49,100.99,25055.71999,143175.5428,300668.6399,1718106.514
iWantCheats,43826,0,0,79.99,24539.49218,140225.6696,294473.9062,1682708.035
wh-satano,87396,,20,40,24470.88,139833.6,293650.56,1678003.2
Cosmo Cheats,51002,9,30,60,21420.84,122404.8,257050.08,1468857.6
Neverlose ,195293,,,14.79,20218.68429,115535.3388,242624.2115,1386424.066
LoL-Script,59523,10.97,,42.78,17824.75758,101855.7576,213897.091,1222269.091
Phantom Overlay ,78583,,,32.06,17635.59686,100774.8392,211627.1623,1209298.07
Aim Junkies,90747,8.283333333,25.02692308,26.0229697,16530.54502,94460.25724,198366.5402,1133523.087
Interwebz Cheats ,182553,,,12.78,16331.19138,93321.0936,195974.2966,1119853.123
Game Sense,60942,,,36,15357.384,87756.48,184288.608,1053077.76
Clutch Solutions,55072,,16.47,38.45,14822.6288,84700.736,177871.5456,1016408.832
